Name,Type,Region,Province,City_Muni,Lat,Lon
Ambalanga River,river,Cordillera Administrative Region (CAR),Benguet,Itogon,16.380512,120.697858
Ambayaoan River,river,Region II (Cagayan Valley),Nueva Vizcaya,San Nicolas,16.178791,120.78069
Ambayaoan River,river,Region II (Cagayan Valley),Nueva Vizcaya,Santa Fe,16.178791,120.78069
Ambayaoan River,river,Region I (Ilocos Region),Pangasinan,San Nicolas,16.178791,120.78069
Ambayaoan River,river,Region I (Ilocos Region),Pangasinan,Santa Fe,16.178791,120.78069
Ambayaoan River,river,Region I (Ilocos Region),Pangasinan,Tayug,16.071867,120.756037
Ambulong Creek,river,Region IV-A (Calabarzon),Batangas,City of Tanauan,14.090758,121.066385
Ambulong River,river,Region IV-A (Calabarzon),Batangas,Batangas City (Capital),13.719906,121.076589
Ambulong River,stream,Region IV-A (Calabarzon),Batangas,Batangas City (Capital),13.679616,121.134605
Amburayan,river,Region I (Ilocos Region),Ilocos Sur,Alilem,16.848032,120.508561
Amburayan,river,Region I (Ilocos Region),Ilocos Sur,Bangar,16.848032,120.508561
Amburayan,river,Region I (Ilocos Region),Ilocos Sur,Santol,16.848032,120.508561
Amburayan,river,Region I (Ilocos Region),Ilocos Sur,Sudipen,16.848032,120.508561
Amburayan,river,Region I (Ilocos Region),Ilocos Sur,Sugpon,16.848032,120.508561
Amburayan,river,Region I (Ilocos Region),Ilocos Sur,Tagudin,16.848032,120.508561
Amburayan,river,Region I (Ilocos Region),La Union,Alilem,16.848032,120.508561
Amburayan,river,Region I (Ilocos Region),La Union,Bangar,16.848032,120.508561
Amburayan,river,Region I (Ilocos Region),La Union,Santol,16.848032,120.508561
Amburayan,river,Region I (Ilocos Region),La Union,Sudipen,16.848032,120.508561
Amburayan,river,Region I (Ilocos Region),La Union,Sugpon,16.848032,120.508561
Amburayan,river,Region I (Ilocos Region),La Union,Tagudin,16.848032,120.508561
Amio River,river,Region VII (Central Visayas),Negros Oriental,Pamplona,9.413066,122.974122
Amio River,river,Region VII (Central Visayas),Negros Oriental,Santa Catalina,9.413066,122.974122
Amlan River,river,Region VII (Central Visayas),Negros Oriental,Amlan (Ayuquitan),9.462744,123.226502
Amlan River,river,Region VII (Central Visayas),Negros Oriental,San Jose,9.415791,123.188631
Amlan River,river,Region VII (Central Visayas),Negros Oriental,Sibulan,9.415791,123.188631
